No;Symbol;Company Name;Market Cap;% Change;Volume;Revenue;Industry Name
322;MSSA;Metal Sky Star Acquisition Corporation;92.43M;0.19%;42,818;-;Shell Companies
323;PMGM;Priveterra Acquisition Corp.;91.80M;0.39%;12,838;-;Shell Companies
324;AURC;Aurora Acquisition Corp.;91.70M;0.10%;2,375;-;Shell Companies
325;RWOD;Redwoods Acquisition Corp.;91.27M;-;1;-;Shell Companies
326;QDRO;Quadro Acquisition One Corp.;91.06M;-0.20%;2,447;-;Shell Companies
327;JWAC;Jupiter Wellness Acquisition Corp.;90.97M;-0.78%;73,627;-;Shell Companies
328;IMAQ;International Media Acquisition Corp.;90.61M;-;414;-;Shell Companies
329;INAQ;Insight Acquisition Corp.;90.52M;-;180;-;Shell Companies
330;HUDA;Hudson Acquisition I Corp.;90.06M;-;3;-;Shell Companies
331;BITE;Bite Acquisition Corp.;89.84M;-;640;-;Shell Companies
332;EAC;Edify Acquisition Corp.;89.74M;-;10,391;-;Shell Companies
333;ALTU;Altitude Acquisition Corp.;89.23M;-;23,959;-;Shell Companies
334;FATP;Fat Projects Acquisition Corp;89.04M;0.09%;8,289;-;Shell Companies
335;PNAC;Prime Number Acquisition I Corp.;88.97M;0.14%;108,524;-;Shell Companies
336;NRAC;Noble Rock Acquisition Corporation;88.59M;-;2;-;Shell Companies
337;CFFE;CF Acquisition Corp. VIII;88.35M;-;1;-;Shell Companies
338;AXAC;AXIOS Sustainable Growth Acquisition Corporation;88.12M;-;1,082,667;-;Shell Companies
339;OSI;Osiris Acquisition Corp.;87.74M;-0.50%;7,057;-;Shell Companies
340;TBMC;Trailblazer Merger Corporation I;86.61M;0.49%;62,387;-;Shell Companies
341;DISA;Disruptive Acquisition Corporation I;86.53M;-;1,2;-;Shell Companies
342;GODN;Golden Star Acquisition Corporation;85.95M;0.13%;14,24;-;Shell Companies
343;BLNG;Belong Acquisition Corp.;85.95M;0.20%;104;-;Shell Companies
344;APAC;StoneBridge Acquisition Corporation;85.72M;0.66%;100;-;Shell Companies
345;GENQ;Genesis Unicorn Capital Corp.;85.69M;-;1,118;-;Shell Companies
346;MTAC;MedTech Acquisition Corporation;84.66M;0.10%;100;-;Shell Companies
347;IRAA;Iris Acquisition Corp;84.13M;0.10%;103;-;Shell Companies
348;BWAC;Better World Acquisition Corp.;83.32M;-0.13%;113;-;Shell Companies
349;AIMAU;Aimfinity Investment Corp. I;82.45M;-;1,76;-;Shell Companies
350;PPHP;PHP Ventures Acquisition Corp.;82.17M;-;5;-;Shell Companies
351;DKDCA;Data Knights Acquisition Corp.;82.14M;0.46%;2,606;-;Shell Companies
352;ATAQ;Altimar Acquisition Corp. III;80.74M;-;905;-;Shell Companies
353;OCAX;OCA Acquisition Corp.;79.44M;-;5,941;-;Shell Companies
354;GDST;Goldenstone Acquisition Limited;79.23M;0.48%;2,938;-;Shell Companies
355;ASPA;Abri SPAC I, Inc.;78.72M;-;15,347;-;Shell Companies
356;SGII;Seaport Global Acquisition II Corp.;78.65M;-;100;-;Shell Companies
357;MCAF;Mountain Crest Acquisition Corp. IV;78.30M;0.10%;100;-;Shell Companies
358;PLTN;Plutonian Acquisition Corp.;77.06M;0.03%;5,836;-;Shell Companies
359;LIBY;Liberty Resources Acquisition Corp.;76.80M;-;5,019;-;Shell Companies
360;SWSS;Springwater Special Situations Corp.;75.81M;-;310;-;Shell Companies
361;VHAQ;Viveon Health Acquisition Corp.;75.64M;-;1,438;-;Shell Companies
362;ALOR;ALSP Orchid Acquisition Corporation I;74.91M;0.10%;5,029;-;Shell Companies
363;RFAC;RF Acquisition Corp.;74.41M;0.18%;8,51;-;Shell Companies
364;HPLT;Home Plate Acquisition Corp.;73.53M;-;1;-;Shell Companies
365;PBAX;Phoenix Biotech Acquisition Corp.;73.18M;-;1;-;Shell Companies
366;AQU;Aquaron Acquisition Corp.;73.17M;-;45;-;Shell Companies
367;IGTA;Inception Growth Acquisition Limited;73.06M;-;100;-;Shell Companies
368;FORL;Four Leaf Acquisition Corporation;71.24M;0.88%;101;-;Shell Companies
369;QOMO;Qomolangma Acquisition Corp.;71.19M;-0.10%;18,004;-;Shell Companies
370;RCLF;Rosecliff Acquisition Corp I;70.28M;-;706;-;Shell Companies
371;FXCO;Financial Strategies Acquisition Corp.;70.03M;-;1;-;Shell Companies
372;TETE;Technology & Telecommunication Acquisition Corporation;69.91M;-;38;-;Shell Companies
373;OXUS;Oxus Acquisition Corp.;69.20M;-;2;-;Shell Companies
374;TRON;Corner Growth Acquisition Corp. 2;68.68M;-;71;-;Shell Companies
375;OAKU;Oak Woods Acquisition Corporation;67.85M;0.05%;1,416;-;Shell Companies
376;ACBA;Ace Global Business Acquisition Limited;66.65M;0.55%;105;-;Shell Companies
377;CLOE;Clover Leaf Capital Corp.;66.36M;-;13;-;Shell Companies
378;FHLT;Future Health ESG Corp.;65.72M;-;250;-;Shell Companies
379;MURF;Murphy Canyon Acquisition Corp.;65.47M;0.10%;2,318;-;Shell Companies
380;DMYY;dMY Squared Technology Group, Inc.;64.77M;-;1;-;Shell Companies
381;EDTX;EdtechX Holdings Acquisition Corp. II;64.16M;-;1;-;Shell Companies
382;OLIT;OmniLit Acquisition Corp.;63.55M;0.98%;5,308;-;Shell Companies
383;ROCG;Roth CH Acquisition IV Co.;59.43M;-0.05%;115,491;-;Shell Companies
384;MBTC;Nocturne Acquisition Corporation;58.78M;-;1;-;Shell Companies
385;OHAA;OPY Acquisition Corp. I;57.69M;0.05%;677;-;Shell Companies
386;BNIX;Bannix Acquisition Corp.;57.04M;0.29%;1,4;-;Shell Companies
387;ASCA;A SPAC I Acquisition Corp.;56.93M;-;5;-;Shell Companies
388;PEPL;PepperLime Health Acquisition Corporation;56.31M;-;113;-;Shell Companies
389;ENCP;Energem Corp.;56.16M;-;22,501;-;Shell Companies
390;ROSE;Rose Hill Acquisition Corporation;55.63M;-0.86%;103;-;Shell Companies
391;DUNE;Dune Acquisition Corporation;54.67M;-;30;-;Shell Companies
392;RACY;Relativity Acquisition Corp.;54.04M;-;46,424;-;Shell Companies
393;MTRY;Monterey Bio Acquisition Corporation;53.84M;-;200;-;Shell Companies
394;HHGC;HHG Capital Corporation;53.22M;-;2;-;Shell Companies
395;DMAQ;Deep Medicine Acquisition Corp.;48.72M;-;21;-;Shell Companies
396;OTEC;OceanTech Acquisitions I Corp.;48.35M;-0.83%;45,79;-;Shell Companies
397;MEOA;Minority Equality Opportunities Acquisition Inc.;48.02M;0.83%;17,759;-;Shell Companies
398;DHAC;Digital Health Acquisition Corp.;47.36M;-;491;-;Shell Companies
399;BREZ;Breeze Holdings Acquisition Corp.;46.23M;0.56%;31,941;-;Shell Companies
400;OXAC;Oxbridge Acquisition Corp.;45.36M;-;25;-;Shell Companies
401;GDNR;Gardiner Healthcare Acquisitions Corp.;43.21M;-;14;-;Shell Companies
402;MLAC;Malacca Straits Acquisition Company Limited;43.21M;-;345;-;Shell Companies
403;CCAI;Cascadia Acquisition Corp.;41.60M;-;3,596;-;Shell Companies
404;WAVS;Western Acquisition Ventures Corp.;41.18M;-;10;-;Shell Companies
405;ADOC;Edoc Acquisition Corp.;39.73M;-;258;-;Shell Companies
406;AIB;AIB Acquisition Corporation;38.43M;-;1,871;-;Shell Companies
407;NOVV;Nova Vision Acquisition Corporation;38.26M;-;151;-;Shell Companies
408;AVHI;Achari Ventures Holdings Corp. I;37.04M;-;202;-;Shell Companies
409;AMAO;American Acquisition Opportunity Inc.;35.45M;-;2;-;Shell Companies
410;CLAY;Chavant Capital Acquisition Corp.;32.27M;-;1;-;Shell Companies
411;GBRG;Goldenbridge Acquisition Limited;31.52M;-3.91%;3,166;-;Shell Companies
412;PTHR;Pono Capital Three, Inc.;30.04M;-0.39%;43,4;-;Shell Companies
413;UPTD;TradeUP Acquisition Corp.;25.12M;-;15,39;-;Shell Companies
414;GRCY;Greencity Acquisition Corporation;21.18M;-;3,641;-;Shell Companies
415;BRLI;Brilliant Acquisition Corporation;20.07M;-;1;-;Shell Companies
416;DIST;Distoken Acquisition Corporation;17.65M;-;3,7;-;Shell Companies
417;ATMC;AlphaTime Acquisition Corp;15.74M;0.77%;885;-;Shell Companies
418;BLAC;Bellevue Life Sciences Acquisition Corp.;15.23M;-;983;-;Shell Companies
419;CETU;Cetus Capital Acquisition Corp.;12.71M;-;8,077;-;Shell Companies
420;ATMV;AlphaVest Acquisition Corp;1.96M;-;1,082;-;Shell Companies
1;HDB;HDFC Bank Limited;124.94B;-1.76%;2,160,645;11.71B;Banks - Regional
2;IBN;ICICI Bank Limited;80.17B;-0.26%;4,812,922;20.67B;Banks - Regional
3;ITUB;Itaú Unibanco Holding S.A.;53.41B;0.37%;29,661,204;21.85B;Banks - Regional
4;PNC;The PNC Financial Services Group, Inc.;45.04B;-1.11%;2,509,702;22.03B;Banks - Regional
5;BSBR;Banco Santander (Brasil) S.A.;44.82B;1.18%;604,265;13.48B;Banks - Regional
6;USB;U.S. Bancorp;44.33B;-1.80%;16,401,222;23.46B;Banks - Regional
7;MFG;Mizuho Financial Group, Inc.;37.76B;-;1,496,841;12.51B;Banks - Regional
8;LYG;Lloyds Banking Group plc;37.00B;-2.17%;10,948,398;7.00B;Banks - Regional
9;TFC;Truist Financial Corporation;35.74B;-2.01%;16,215,004;22.44B;Banks - Regional
10;BBD;Banco Bradesco S.A.;33.26B;0.64%;23,451,993;15.48B;Banks - Regional
11;DB;Deutsche Bank Aktiengesellschaft;21.85B;-1.22%;1,731,532;27.49B;Banks - Regional
12;MTB;M&T Bank Corporation;18.78B;-1.40%;1,477,429;8.51B;Banks - Regional
13;FCNCA;First Citizens BancShares, Inc.;17.77B;4.98%;298,065;13.73B;Banks - Regional
14;FITB;Fifth Third Bancorp;16.10B;-2.39%;11,100,698;8.03B;Banks - Regional
15;RF;Regions Financial Corporation;14.56B;-3.54%;11,706,414;7.13B;Banks - Regional
16;KB;KB Financial Group Inc.;14.43B;0.19%;119,558;3.19B;Banks - Regional
17;HBAN;Huntington Bancshares Incorporated;13.40B;-3.13%;18,104,095;7.18B;Banks - Regional
18;SHG;Shinhan Financial Group Co., Ltd.;13.39B;0.53%;108,438;7.06B;Banks - Regional
19;CFG;Citizens Financial Group, Inc.;12.00B;-2.36%;8,156,937;7.87B;Banks - Regional
20;BCH;Banco de Chile;11.35B;-0.71%;76,15;3.21B;Banks - Regional
21;BAP;Credicorp Ltd.;11.21B;-0.66%;288,77;3.90B;Banks - Regional
22;BSAC;Banco Santander-Chile;9.26B;0.10%;287,649;2.61B;Banks - Regional
23;KEY;KeyCorp;8.87B;-2.47%;19,221,485;6.70B;Banks - Regional
24;NYCB;New York Community Bancorp, Inc.;7.04B;-1.61%;10,602,606;1.51B;Banks - Regional
25;WF;Woori Financial Group Inc.;6.52B;0.67%;35,839;8.25B;Banks - Regional
26;CIB;Bancolombia S.A.;6.42B;-1.23%;648,152;4.25B;Banks - Regional
27;CFR;Cullen/Frost Bankers, Inc.;6.16B;-1.34%;731,915;1.84B;Banks - Regional
28;CBSH;Commerce Bancshares, Inc.;6.05B;-1.64%;474,309;1.49B;Banks - Regional
29;WBS;Webster Financial Corporation;5.71B;0.15%;1,703,421;2.50B;Banks - Regional
30;PB;Prosperity Bancshares, Inc.;5.54B;-2.47%;745,116;1.16B;Banks - Regional
31;FHN;First Horizon Corporation;5.48B;-3.46%;19,485,299;3.17B;Banks - Regional
32;BOKF;BOK Financial Corporation;5.05B;-1.57%;154,142;1.98B;Banks - Regional
33;SSB;SouthState Corporation;4.62B;-1.40%;454,899;1.63B;Banks - Regional
34;CMA;Comerica Incorporated;4.30B;-6.76%;6,029,502;3.72B;Banks - Regional
35;HOMB;Home Bancshares, Inc. (Conway, AR);4.07B;-0.74%;1,102,727;955.94M;Banks - Regional
36;BPOP;Popular, Inc.;3.91B;-1.59%;431,834;3.36B;Banks - Regional
37;COLB;Columbia Banking System, Inc.;3.84B;-2.89%;2,138,831;865.74M;Banks - Regional
38;UBSI;United Bankshares, Inc.;3.79B;-3.04%;629,847;1.05B;Banks - Regional
39;FNB;F.N.B. Corporation;3.79B;-0.85%;3,729,813;1.49B;Banks - Regional
40;SNV;Synovus Financial Corp.;3.74B;-4.19%;1,807,674;2.22B;Banks - Regional
41;WTFC;Wintrust Financial Corporation;3.71B;-2.24%;320,117;1.96B;Banks - Regional
42;FFIN;First Financial Bankshares, Inc.;3.66B;-3.90%;734,854;511.63M;Banks - Regional
43;OZK;Bank OZK;3.61B;-3.18%;1,229,433;1.25B;Banks - Regional
44;PNFP;Pinnacle Financial Partners, Inc.;3.56B;-3.39%;429,426;1.52B;Banks - Regional
45;GGAL;Grupo Financiero Galicia S.A.;3.55B;3.20%;894,535;-;Banks - Regional
46;ONB;Old National Bancorp;3.54B;-0.25%;2,133,319;1.83B;Banks - Regional
47;VLY;Valley National Bancorp;3.50B;-2.77%;5,875,615;1.93B;Banks - Regional
48;ZION;Zions Bancorporation,NA;3.36B;-4.51%;7,247,671;3.11B;Banks - Regional
49;CADE;Cadence Bank;3.26B;-2.57%;1,357,974;1.84B;Banks - Regional
50;TFSL;TFS Financial Corporation;3.15B;-0.97%;355,945;309.78M;Banks - Regional
51;GBCI;Glacier Bancorp, Inc.;3.02B;-1.76%;695,005;885.68M;Banks - Regional
52;WAL;Western Alliance Bancorporation;2.95B;-0.77%;12,481,727;2.46B;Banks - Regional
53;AVAL;Grupo Aval Acciones y Valores S.A.;2.80B;-2.48%;69,48;2.82B;Banks - Regional
54;HWC;Hancock Whitney Corporation;2.78B;-1.73%;439,899;1.43B;Banks - Regional
55;IFS;Intercorp Financial Services Inc.;2.70B;-0.55%;184,11;1.49B;Banks - Regional
56;UMBF;UMB Financial Corporation;2.65B;-3.18%;411,101;1.44B;Banks - Regional
57;IBOC;International Bancshares Corporation;2.54B;-1.75%;174,383;717.99M;Banks - Regional
58;UCBI;United Community Banks, Inc.;2.44B;-2.94%;441,562;866.37M;Banks - Regional
59;BANF;BancFirst Corporation;2.43B;-1.61%;91,517;585.79M;Banks - Regional
60;CBU;Community Bank System, Inc.;2.41B;-3.49%;280,176;664.58M;Banks - Regional
61;SFBS;ServisFirst Bancshares, Inc.;2.32B;-3.86%;249,428;468.76M;Banks - Regional
62;BMA;Banco Macro S.A.;2.31B;1.42%;292,378;2.81B;Banks - Regional
63;FIBK;First Interstate BancSystem, Inc.;2.28B;-2.89%;718,816;1.10B;Banks - Regional
64;ASB;Associated Banc-Corp;2.23B;-1.20%;1,364,044;1.26B;Banks - Regional
65;AX;Axos Financial, Inc.;2.21B;-2.60%;269,636;835.91M;Banks - Regional
66;TCBI;Texas Capital Bancshares, Inc.;2.16B;-4.83%;512,608;1.20B;Banks - Regional
67;CATY;Cathay General Bancorp;2.03B;-1.30%;246,592;803.77M;Banks - Regional
68;ABCB;Ameris Bancorp;2.01B;-0.72%;472,497;978.50M;Banks - Regional
69;INDB;Independent Bank Corp.;2.00B;-2.66%;211,807;735.70M;Banks - Regional
70;FHB;First Hawaiian, Inc.;1.99B;-4.23%;1,546,532;818.15M;Banks - Regional
71;HTH;Hilltop Holdings Inc.;1.99B;-0.62%;351,924;1.25B;Banks - Regional
72;EBC;Eastern Bankshares, Inc.;1.97B;-0.36%;1,044,720;411.22M;Banks - Regional
73;FBP;First BanCorp.;1.93B;-1.29%;1,052,383;890.69M;Banks - Regional
74;SFNC;Simmons First National Corporation;1.90B;-1.52%;790,643;865.02M;Banks - Regional
75;WSFS;WSFS Financial Corporation;1.84B;-2.00%;257,002;911.42M;Banks - Regional
76;AUB;Atlantic Union Bankshares Corporation;1.79B;-2.21%;351,823;676.69M;Banks - Regional
77;FFBC;First Financial Bancorp.;1.73B;-2.57%;224,029;748.19M;Banks - Regional
78;PPBI;Pacific Premier Bancorp, Inc.;1.73B;-0.33%;950,078;780.52M;Banks - Regional
79;WAFD;Washington Federal, Inc.;1.65B;-1.53%;691,93;730.33M;Banks - Regional
80;PRK;Park National Corporation;1.64B;-1.18%;52,521;480.89M;Banks - Regional
81;CLBK;Columbia Financial, Inc.;1.63B;-1.98%;123,101;292.15M;Banks - Regional
82;TOWN;TowneBank;1.61B;-2.01%;176,703;670.72M;Banks - Regional
83;SBCF;Seacoast Banking Corporation of Florida;1.61B;-3.80%;619,281;406.07M;Banks - Regional
84;FULT;Fulton Financial Corporation;1.60B;-2.33%;1,146,128;1.00B;Banks - Regional
85;TBBK;The Bancorp, Inc.;1.58B;-2.03%;264,662;347.42M;Banks - Regional
86;CVBF;CVB Financial Corp.;1.51B;-6.38%;2,105,880;544.90M;Banks - Regional
87;FRME;First Merchants Corporation;1.49B;-1.58%;177,469;652.33M;Banks - Regional
88;BANR;Banner Corporation;1.45B;-2.25%;152,568;636.14M;Banks - Regional
89;EFSC;Enterprise Financial Services Corp;1.42B;-1.68%;104,852;562.05M;Banks - Regional
90;BOH;Bank of Hawaii Corporation;1.39B;-10.23%;2,311,446;706.28M;Banks - Regional
91;NBTB;NBT Bancorp Inc.;1.37B;-1.42%;157,699;500.62M;Banks - Regional
92;RNST;Renasant Corporation;1.34B;-1.72%;159,145;636.28M;Banks - Regional
93;NWBI;Northwest Bancshares, Inc.;1.31B;-0.77%;655,052;527.26M;Banks - Regional
94;WSBC;WesBanco, Inc.;1.28B;-2.40%;292,112;600.24M;Banks - Regional
95;CHCO;City Holding Company;1.26B;-2.62%;101,41;264.73M;Banks - Regional
96;TRMK;Trustmark Corporation;1.25B;-2.39%;257,971;709.51M;Banks - Regional
97;SYBT;Stock Yards Bancorp, Inc.;1.25B;-2.14%;250,877;329.09M;Banks - Regional
98;IBTX;Independent Bank Group, Inc.;1.23B;-2.90%;285,903;600.29M;Banks - Regional
99;BKU;BankUnited, Inc.;1.23B;-0.24%;1,228,135;924.95M;Banks - Regional
100;FCF;First Commonwealth Financial Corporation;1.18B;-2.39%;568,07;389.82M;Banks - Regional
101;HTLF;Heartland Financial USA, Inc.;1.18B;1.28%;412,458;724.26M;Banks - Regional
102;CASH;Pathward Financial, Inc.;1.18B;-0.50%;115,573;585.05M;Banks - Regional
103;FBK;FB Financial Corporation;1.17B;-2.11%;208,541;500.62M;Banks - Regional
104;FBNC;First Bancorp;1.13B;-0.04%;145,078;379.83M;Banks - Regional
105;PFS;Provident Financial Services, Inc.;1.13B;-0.33%;533,98;500.35M;Banks - Regional
106;STEL;Stellar Bancorp, Inc.;1.13B;-2.80%;116,366;340.74M;Banks - Regional
107;OFG;OFG Bancorp;1.12B;-0.21%;278,7;609.76M;Banks - Regional
108;LKFN;Lakeland Financial Corporation;1.10B;-3.98%;139,623;237.71M;Banks - Regional
109;NBHC;National Bank Holdings Corporation;1.09B;0.03%;185,526;340.04M;Banks - Regional
110;TFIN;Triumph Financial, Inc.;1.07B;-0.04%;158,946;468.73M;Banks - Regional
111;TCBK;TriCo Bancshares;1.02B;-0.87%;81,597;390.55M;Banks - Regional
112;SRCE;1st Source Corporation;1.02B;-0.10%;60,32;350.80M;Banks - Regional
113;WABC;Westamerica Bancorporation;1.00B;-1.08%;159,581;291.35M;Banks - Regional
114;STBA;S&T Bancorp, Inc.;1.00B;-1.04%;162,408;383.26M;Banks - Regional
115;MBIN;Merchants Bancorp;990.48M;-0.82%;50,398;427.19M;Banks - Regional
116;BUSE;First Busey Corporation;937.90M;-0.99%;169,41;456.29M;Banks - Regional
117;BBAR;Banco BBVA Argentina S.A.;927.24M;3.42%;734,789;-;Banks - Regional
118;HOPE;Hope Bancorp, Inc.;903.79M;-2.20%;918,269;606.01M;Banks - Regional
119;SASR;Sandy Spring Bancorp, Inc.;889.54M;-2.70%;292,444;494.03M;Banks - Regional
120;LOB;Live Oak Bancshares, Inc.;888.49M;-3.61%;245,245;498.51M;Banks - Regional
121;INTR;Inter & Co, Inc.;880.05M;10.60%;755,281;-;Banks - Regional
122;BHLB;Berkshire Hills Bancorp, Inc.;836.70M;-1.52%;200,441;437.93M;Banks - Regional
123;SBSI;Southside Bancshares, Inc.;825.38M;-0.96%;208,528;256.05M;Banks - Regional
124;PEBO;Peoples Bancorp Inc.;825.18M;-1.02%;111,076;344.71M;Banks - Regional
125;VBTX;Veritex Holdings, Inc.;812.35M;-3.60%;658,183;389.71M;Banks - Regional
126;OBNK;Origin Bancorp, Inc.;811.08M;-1.57%;97,982;326.46M;Banks - Regional
127;LBAI;Lakeland Bancorp, Inc.;799.73M;-0.24%;218,3;335.60M;Banks - Regional
128;NIC;Nicolet Bankshares, Inc.;798.67M;-1.13%;28,927;248.73M;Banks - Regional
129;RBCAA;Republic Bancorp, Inc.;791.95M;-0.20%;18,788;308.32M;Banks - Regional
130;GABC;German American Bancorp, Inc.;781.62M;-1.49%;53,099;258.35M;Banks - Regional
131;OCFC;OceanFirst Financial Corp.;774.51M;-2.11%;256,809;435.44M;Banks - Regional
132;FBMS;The First Bancshares, Inc.;740.03M;-1.45%;64,644;209.17M;Banks - Regional
133;CFFN;Capitol Federal Financial, Inc.;732.46M;-1.10%;609,922;213.02M;Banks - Regional
134;TMP;Tompkins Financial Corporation;729.97M;-2.96%;24,583;305.46M;Banks - Regional
135;BFC;Bank First Corporation;710.60M;-1.20%;9,466;121.73M;Banks - Regional
136;BRKL;Brookline Bancorp, Inc.;668.53M;0.77%;642,35;319.49M;Banks - Regional
137;BLX;Banco Latinoamericano de Comercio Exterior, S. A.;666.56M;0.05%;39,037;166.67M;Banks - Regional
138;PFBC;Preferred Bank;650.02M;-1.05%;81,199;254.40M;Banks - Regional
139;BY;Byline Bancorp, Inc.;641.44M;-1.51%;88,741;306.64M;Banks - Regional
140;DCOM;Dime Community Bancshares, Inc.;624.36M;-2.84%;161,055;413.14M;Banks - Regional
141;QCRH;QCR Holdings, Inc.;622.59M;-0.53%;43,765;318.01M;Banks - Regional
142;CTBI;Community Trust Bancorp, Inc.;597.71M;-2.26%;61,005;224.47M;Banks - Regional
143;GSBC;Great Southern Bancorp, Inc.;593.71M;-2.63%;29,785;235.34M;Banks - Regional
144;BANC;Banc of California, Inc.;581.79M;-2.06%;439,159;328.28M;Banks - Regional
145;PACW;PacWest Bancorp;565.15M;-22.70%;72,647,951;1.34B;Banks - Regional
146;AMTB;Amerant Bancorp Inc.;550.15M;-2.16%;76,636;330.30M;Banks - Regional
147;EGBN;Eagle Bancorp, Inc.;545.08M;-5.50%;607,096;335.79M;Banks - Regional
148;HFWA;Heritage Financial Corporation;541.01M;-1.15%;193,356;257.62M;Banks - Regional
149;HBT;HBT Financial, Inc.;539.25M;0.18%;34,531;186.81M;Banks - Regional
150;CNOB;ConnectOne Bancorp, Inc.;538.32M;-1.93%;205,297;294.53M;Banks - Regional
151;CUBI;Customers Bancorp, Inc.;531.55M;-0.47%;383,771;574.44M;Banks - Regional
152;TRST;TrustCo Bank Corp NY;523.93M;-1.22%;71,257;205.59M;Banks - Regional
153;OSBC;Old Second Bancorp, Inc.;500.70M;-1.41%;306,758;255.96M;Banks - Regional
154;UVSP;Univest Financial Corporation;494.54M;-2.45%;124,863;289.01M;Banks - Regional
155;PFC;Premier Financial Corp.;494.48M;-1.21%;160,109;282.02M;Banks - Regional
156;CCBG;Capital City Bank Group, Inc.;486.65M;-2.19%;19,842;220.92M;Banks - Regional
157;CFB;CrossFirst Bankshares, Inc.;478.23M;-2.28%;73,203;208.85M;Banks - Regional
158;FMBH;First Mid Bancshares, Inc.;457.79M;-1.04%;76,991;258.95M;Banks - Regional
159;FCBC;First Community Bankshares, Inc.;451.24M;0.37%;18,809;147.14M;Banks - Regional
160;AMAL;Amalgamated Financial Corp.;442.23M;-1.16%;130,568;262.77M;Banks - Regional
161;PGC;Peapack-Gladstone Financial Corporation;442.08M;-1.45%;80,426;244.71M;Banks - Regional
162;KRNY;Kearny Financial Corp.;441.44M;-2.20%;220,483;181.17M;Banks - Regional
163;CCB;Coastal Financial Corporation;437.09M;-2.43%;33,763;239.18M;Banks - Regional
164;CAC;Camden National Corporation;432.39M;-0.74%;39,384;178.78M;Banks - Regional
165;SUPV;Grupo Supervielle S.A.;432.28M;0.85%;432,917;626.77M;Banks - Regional
166;NFBK;Northfield Bancorp, Inc. (Staten Island, NY);431.80M;-0.75%;173,27;160.99M;Banks - Regional
167;HAFC;Hanmi Financial Corporation;419.52M;-2.00%;186,282;274.22M;Banks - Regional
168;HTBK;Heritage Commerce Corp;419.48M;-2.69%;319,913;199.97M;Banks - Regional
169;LBC;Luther Burbank Corporation;415.88M;-1.69%;47,382;166.19M;Banks - Regional
170;FMNB;Farmers National Banc Corp.;412.83M;-2.48%;89,979;156.38M;Banks - Regional
171;MSBI;Midland States Bancorp, Inc.;412.31M;0.84%;58,403;310.38M;Banks - Regional
172;HIFS;Hingham Institution for Savings;394.91M;-1.48%;12,529;85.42M;Banks - Regional
173;THFF;First Financial Corporation;387.68M;-0.65%;79,436;207.59M;Banks - Regional
174;WASH;Washington Trust Bancorp, Inc.;385.14M;-3.25%;220,658;217.42M;Banks - Regional
175;MBWM;Mercantile Bank Corporation;383.35M;-1.76%;28,02;198.44M;Banks - Regional
176;HONE;HarborOne Bancorp, Inc.;380.41M;-1.74%;179,279;189.86M;Banks - Regional
177;MCBS;MetroCity Bankshares, Inc.;375.90M;0.07%;20,742;135.63M;Banks - Regional
178;CATC;Cambridge Bancorp;370.00M;-1.60%;40,099;183.61M;Banks - Regional
179;CPF;Central Pacific Financial Corp.;369.98M;-2.21%;206,336;264.43M;Banks - Regional
180;SMBC;Southern Missouri Bancorp, Inc.;359.00M;-0.91%;18,142;124.02M;Banks - Regional
181;BFST;Business First Bancshares, Inc.;354.73M;0.21%;124,303;231.16M;Banks - Regional
182;CCNE;CNB Financial Corporation;353.85M;-1.06%;40,192;219.60M;Banks - Regional
183;SPFI;South Plains Financial, Inc.;344.32M;-0.39%;20,305;205.51M;Banks - Regional
184;BHB;Bar Harbor Bankshares;341.66M;-1.74%;23,12;152.16M;Banks - Regional
185;HBNC;Horizon Bancorp, Inc.;341.32M;-2.52%;292,07;248.79M;Banks - Regional
186;SMBK;SmartFinancial, Inc.;340.25M;-1.91%;21,949;161.20M;Banks - Regional
187;EBTC;Enterprise Bancorp, Inc.;333.31M;0.04%;12,687;167.35M;Banks - Regional
188;AROW;Arrow Financial Corporation;329.71M;-1.29%;34,99;142.34M;Banks - Regional
189;EQBK;Equity Bancshares, Inc.;327.58M;1.24%;36,299;198.50M;Banks - Regional
190;IBCP;Independent Bank Corporation;325.78M;-1.47%;88,19;199.44M;Banks - Regional
191;BHRB;Burke & Herbert Bank & Trust Company;325.52M;-1.00%;506;128.25M;Banks - Regional
192;RRBI;Red River Bancshares, Inc.;325.00M;-0.37%;1,496;103.64M;Banks - Regional
193;ESQ;Esquire Financial Holdings, Inc.;323.54M;-2.08%;41,717;80.78M;Banks - Regional
194;CARE;Carter Bankshares, Inc.;323.23M;-1.60%;40,773;-;Banks - Regional
195;GCBC;Greene County Bancorp, Inc.;321.81M;0.27%;4,554;72.12M;Banks - Regional
196;HTBI;HomeTrust Bancshares, Inc.;316.66M;-1.09%;37,699;157.87M;Banks - Regional
197;FSBC;Five Star Bancorp;314.28M;-0.60%;26,862;110.05M;Banks - Regional
198;MPB;Mid Penn Bancorp, Inc.;309.30M;3.56%;70,383;167.19M;Banks - Regional
199;CZFS;Citizens Financial Services, Inc.;303.03M;-0.63%;4,051;80.19M;Banks - Regional
200;MCBC;Macatawa Bank Corporation;292.86M;-;69,689;99.30M;Banks - Regional
201;WSBF;Waterstone Financial, Inc.;291.05M;-2.28%;101,387;151.67M;Banks - Regional
202;MOFG;MidWestOne Financial Group, Inc.;286.86M;-2.81%;34,546;195.50M;Banks - Regional
203;NBN;Northeast Bank;280.21M;-0.16%;45,436;107.35M;Banks - Regional
